File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\units\AbstractUnit.java,116,86,63,9,27,0,3,28,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\units\UnitContainer.java,22,14,10,1,8,0,0,0,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\units\UnitType.java,6,4,2,0,2,0,0,0,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\units\buildings\AbstractBuilding.java,10,7,5,0,3,0,0,0,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\units\infantry\AbstractInfantry.java,10,7,5,0,3,0,0,0,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\units\infantry\M4Unit.java,51,40,29,4,11,0,0,0,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\units\movements\AbstractMovement.java,169,133,94,17,35,8,1,31,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\units\movements\CarMovement.java,193,146,96,22,37,3,10,128,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\units\vehicles\AbstractVehicle.java,10,7,5,0,3,0,0,0,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\world\AbstractGameObject.java,100,75,54,12,25,2,0,25,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\world\GameMode.java,7,5,2,0,2,0,0,0,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\world\Player.java,71,51,36,7,19,1,1,26,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\world\RenderMode.java,7,5,2,0,2,0,0,0,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\world\WorldController.java,112,85,65,12,23,2,4,52,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\gameplay\world\WorldRenderer.java,282,234,162,14,40,1,8,76,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\loadgameplay\LoadGameScreen.java,125,92,60,5,32,0,1,9,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\loadgameplay\LoadGameThread.java,51,39,32,2,12,1,0,6,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\menu\MenuScreen.java,180,150,113,6,30,0,0,0,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\menu\windows\AbstractMenuWindow.java,20,12,10,0,8,0,0,0,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\menu\windows\JoinByIPWindow.java,110,87,71,1,23,0,0,0,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\menu\windows\MainMenuWindow.java,123,97,78,1,24,1,2,31,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\menu\windows\MultiplayerLobbyWindow.java,341,281,227,15,54,0,6,33,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\menu\windows\MultiplayerWindow.java,129,102,81,1,25,0,2,25,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\menu\windows\ServerConnectionWindow.java,96,75,60,2,21,1,0,2,0,0
W:\Git\source\core\src\org\voimala\myrts\screens\menu\windows\WindowName.java,10,8,2,0,2,0,0,0,0,0
W:\Git\source\core\src\org\voimala\utility\ArrayHelper.java,14,10,7,2,4,0,0,0,0,0
W:\Git\source\core\src\org\voimala\utility\MathHelper.java,117,71,42,17,22,0,24,107,0,0
W:\Git\source\core\src\org\voimala\utility\RandomNumberGenerator.java,15,8,6,1,3,0,4,14,0,0
W:\Git\source\core\src\org\voimala\utility\RotationDirection.java,7,5,2,0,2,0,0,0,0,0
W:\Git\source\core\test\org\voimala\utility\MathHelperTest.java,138,115,48,0,23,0,0,0,0,0
